operator,procstat,geo,TIME_PERIOD,OBS_VALUE
EXP,REG_NEW,RO,2016,2.0
EXP,REG_NEW,RO,2017,2.0
EXP,REG_NEW,RO,2022,1.47
EXP,REG_NEW,RS,2022,8.44
EXP,REG_NEW,SE,2022,27.0
EXP,REG_NEW,SI,2022,0.0
EXP,REG_NEW,SK,2014,2.0
EXP,REG_NEW,SK,2022,2.0
EXP,REG_NEW,TR,2022,515.0
EXP,REG_NEW,UK,2022,0.0
EXP,REG_WDN,AL,2022,26.0
EXP,REG_WDN,AT,2017,3.0
EXP,REG_WDN,AT,2018,10.0
EXP,REG_WDN,AT,2019,0.0
EXP,REG_WDN,AT,2020,4.0
EXP,REG_WDN,AT,2022,0.0
EXP,REG_WDN,BE,2022,0.0
EXP,REG_WDN,BG,2013,4.0
EXP,REG_WDN,BG,2014,0.0
EXP,REG_WDN,BG,2015,6.0
EXP,REG_WDN,BG,2016,0.0
EXP,REG_WDN,BG,2018,3.0
EXP,REG_WDN,BG,2019,3.0
EXP,REG_WDN,BG,2022,0.0
EXP,REG_WDN,CH,2022,0.0
EXP,REG_WDN,CY,2022,0.0
EXP,REG_WDN,CZ,2013,1.0
EXP,REG_WDN,CZ,2014,8.0
EXP,REG_WDN,CZ,2016,5.0
EXP,REG_WDN,CZ,2019,22.0
EXP,REG_WDN,CZ,2020,17.0
EXP,REG_WDN,CZ,2022,8.0
EXP,REG_WDN,DE,2022,507.4
EXP,REG_WDN,DK,2022,90.0
EXP,REG_WDN,EE,2022,24.0
EXP,REG_WDN,EL,2022,36.58
EXP,REG_WDN,ES,2022,230.0
EXP,REG_WDN,FI,2022,37.0
EXP,REG_WDN,FR,2022,6614.13
EXP,REG_WDN,HR,2013,0.0
EXP,REG_WDN,HR,2014,0.0
EXP,REG_WDN,HR,2015,0.0
EXP,REG_WDN,HR,2016,1.0
EXP,REG_WDN,HR,2017,0.0
EXP,REG_WDN,HR,2019,0.0
EXP,REG_WDN,HR,2022,0.0
EXP,REG_WDN,HU,2022,0.0
EXP,REG_WDN,IE,2022,0.0
EXP,REG_WDN,IS,2022,0.0
EXP,REG_WDN,IT,2022,582.0
EXP,REG_WDN,LT,2022,0.0
EXP,REG_WDN,LU,2022,0.0
EXP,REG_WDN,LV,2015,0.0
EXP,REG_WDN,LV,2016,0.0
EXP,REG_WDN,LV,2017,1.0
EXP,REG_WDN,LV,2019,0.0
EXP,REG_WDN,LV,2022,0.0
EXP,REG_WDN,ME,2022,0.0
EXP,REG_WDN,MK,2015,0.0
EXP,REG_WDN,MK,2022,0.0
EXP,REG_WDN,MT,2013,0.0
EXP,REG_WDN,MT,2014,0.0
EXP,REG_WDN,MT,2015,0.0
EXP,REG_WDN,MT,2016,0.0
EXP,REG_WDN,MT,2017,0.0
EXP,REG_WDN,MT,2018,0.0
EXP,REG_WDN,MT,2019,0.0
EXP,REG_WDN,MT,2020,0.0
EXP,REG_WDN,MT,2022,0.0
EXP,REG_WDN,NL,2022,146.0
EXP,REG_WDN,NO,2022,0.0
EXP,REG_WDN,PL,2022,43.03
EXP,REG_WDN,PT,2015,0.0
EXP,REG_WDN,PT,2017,0.0
EXP,REG_WDN,PT,2022,0.0
EXP,REG_WDN,RO,2014,0.0
EXP,REG_WDN,RO,2016,0.0
EXP,REG_WDN,RO,2017,1.0
EXP,REG_WDN,RO,2022,0.46
EXP,REG_WDN,RS,2022,8.44
EXP,REG_WDN,SE,2022,27.0
EXP,REG_WDN,SI,2022,0.0
EXP,REG_WDN,SK,2014,1.0
EXP,REG_WDN,SK,2022,2.0
EXP,REG_WDN,TR,2022,515.0
EXP,REG_WDN,UK,2022,0.0
IMP,REG_END,AL,2021,4.0
IMP,REG_END,AL,2022,4.0
IMP,REG_END,AT,2013,14.0
IMP,REG_END,AT,2014,23.0
IMP,REG_END,AT,2015,55.0
IMP,REG_END,AT,2016,57.0
IMP,REG_END,AT,2017,66.0
IMP,REG_END,AT,2018,62.0
IMP,REG_END,AT,2019,58.0
IMP,REG_END,AT,2020,71.0
IMP,REG_END,AT,2021,84.0
IMP,REG_END,AT,2022,2.47
IMP,REG_END,BE,2012,122.0
IMP,REG_END,BE,2013,58.0
IMP,REG_END,BE,2014,141.0
IMP,REG_END,BE,2015,164.0
IMP,REG_END,BE,2016,183.0
IMP,REG_END,BE,2017,235.0
IMP,REG_END,BE,2018,279.0
IMP,REG_END,BE,2019,304.0
IMP,REG_END,BE,2022,99.5
IMP,REG_END,BG,2012,1.0
IMP,REG_END,BG,2013,3.0
IMP,REG_END,BG,2014,3.0
IMP,REG_END,BG,2015,8.0
IMP,REG_END,BG,2016,13.0
IMP,REG_END,BG,2018,26.0
IMP,REG_END,BG,2019,22.0
IMP,REG_END,BG,2021,43.0
IMP,REG_END,BG,2022,2.47
IMP,REG_END,CH,2022,2.47
IMP,REG_END,CY,2012,3.0
IMP,REG_END,CY,2013,3.0
IMP,REG_END,CY,2014,4.0
IMP,REG_END,CY,2015,3.0
IMP,REG_END,CY,2016,4.0
IMP,REG_END,CY,2017,15.0
IMP,REG_END,CY,2018,19.0
IMP,REG_END,CY,2019,14.0
IMP,REG_END,CY,2020,16.0
IMP,REG_END,CY,2021,28.0
IMP,REG_END,CY,2022,2.47
IMP,REG_END,CZ,2012,78.0
IMP,REG_END,CZ,2013,89.0
IMP,REG_END,CZ,2014,110.0
IMP,REG_END,CZ,2015,139.0
IMP,REG_END,CZ,2016,190.0
IMP,REG_END,CZ,2017,250.0
IMP,REG_END,CZ,2018,303.0
IMP,REG_END,CZ,2019,311.0
IMP,REG_END,CZ,2020,324.0
IMP,REG_END,CZ,2021,359.0
IMP,REG_END,CZ,2022,359.0
IMP,REG_END,DE,2012,308.0
IMP,REG_END,DE,2013,300.0
IMP,REG_END,DE,2014,1133.0
IMP,REG_END,DE,2015,1452.0
IMP,REG_END,DE,2016,1605.0
